0,62.2
1,69.6
2,67.2
3,62.4
4,50.2
5,51.5
6,45.5
7,54.9
8,51.7
9,54.3
10,39.5
11,56.2
12,59.6
13,51.0
14,56.5
15,38.2
16,39.9
17,48.3
18,42.9
19,58.5
20,54.1
21,55.2
22,60.6
23,44.9
24,46.9
25,45.7
26,48.2
27,49.0
28,42.8
29,55.1
30,51.6
31,51.3
32,63.2
33,45.5
34,37.3
35,45.6
36,41.9
37,45.4
38,44.9
39,45.6
40,46.5
41,56.4
42,58.3
43,56.3
44,48.1
45,55.6
46,44.6
47,55.0
48,40.3
49,48.4
50,62.9
51,45.7
52,93.6
53,85.2
54,94.6
55,88.8
56,103.2
57,90.8
58,97.3
59,94.7
60,92.7
61,89.4
62,94.1
63,89.1
64,91.5
65,87.9
66,91.7
67,87.5
68,91.2
69,87.7
70,92.8
71,88.6
72,94.1
73,90.0
74,88.1
75,87.7
76,100.9
77,94.3
78,90.1
79,90.1
80,88.3
81,93.8
82,87.5
83,91.3
84,94.5
85,87.0
86,87.9
87,86.9
88,81.6
89,87.4
90,92.8
91,79.4
92,92.8
93,96.6
94,92.7
95,84.3
96,88.2
97,95.1
98,94.3
99,96.7
100,77.5
101,86.0
102,87.9
103,96.7
104,92.9
105,82.3
106,88.9
107,90.2
108,85.7
109,92.7
110,95.3
111,95.5
112,89.7
113,67.9
114,79.8
115,89.0
116,85.5
117,95.2
118,94.2
119,90.0
120,96.6
121,92.6
122,95.3
123,95.9
124,94.4
125,93.6
126,91.7
127,87.3
128,98.5
129,93.9
130,97.4
131,102.0
132,93.0
133,96.4
134,90.0
135,100.1
136,90.2
137,89.1
138,98.6
139,100.5
140,85.6
141,91.9
142,92.7
143,95.6
144,94.3
145,93.8
146,97.2
147,97.4
148,94.0
149,99.2
150,94.8
151,94.0
152,93.9
153,98.7
154,94.1
155,95.3
156,90.5
157,89.4
158,94.6
159,103.0
160,96.7
161,91.3
162,93.5
163,83.0
164,90.9
165,92.1
166,95.1
167,97.5
168,98.8
169,91.8
170,98.7
171,94.7
172,96.3
173,94.8
174,92.5
175,85.5
176,90.1
177,102.2
178,95.6
179,78.6
180,99.7
181,91.1
182,99.0
183,83.8
184,103.3
185,86.9
186,89.8
187,91.4
188,85.0
189,93.3
190,95.7
191,90.7
192,96.2
193,87.9
194,96.0
195,98.5
196,88.6
197,85.0
198,92.6
199,88.0
200,82.0
201,86.2
202,89.0
